a ,a ,a ,a ,a ,a ,a ,a ,a ,a ,a ,a ,a ,a ,a ,a ,a ,a ,a ,a ,a ,a ,a ,a ,a ,a ,a 
a ,a ,a ,a ,a ,a ,a ,a ,a ,a ,a ,a ,a ,a ,a ,a ,a ,a ,a ,a ,a ,a ,a ,a ,a ,a ,a 
a ,a ,a ,a ,a ,a ,a ,a ,a ,a ,a ,a ,a ,a ,a ,a ,a ,a ,a ,a ,a ,a ,a ,a ,a ,a ,a 
a ,a ,a ,a ,a ,a ,a ,a ,a ,a ,a ,a ,a ,a ,a ,a ,a ,a ,a ,a ,a ,a ,a ,a ,a ,a ,a 
a ,a ,a ,a ,a ,a ,a ,a ,a ,a ,a ,a ,a ,a ,a ,a ,a ,a ,a ,a ,a ,a ,a ,a ,a ,a ,a 
a ,a ,a ,a ,a ,a ,a ,a ,a ,a ,a ,m_6_800;200_650;300,a ,a ,a ,a ,a ,a ,a ,a ,a ,a ,a ,a ,a ,a ,a 
a ,a ,a ,a ,a ,a ,a ,a ,a ,a ,a ,a ,c ,c ,c ,a ,st,a ,a ,a ,a ,a ,a ,a ,a ,a ,a 
a ,a ,a ,a ,a ,a ,a ,a ,a ,a ,a ,a ,a ,a ,a ,a ,st,a ,a ,a ,a ,a ,a ,a ,a ,a ,a 
a ,a ,a ,a ,a ,a ,a ,a ,a ,di,di,a ,a ,a ,a ,a ,st,a ,a ,a ,a ,a ,a ,a ,a ,a ,a 
a ,a ,a ,a ,a ,a ,a ,a ,di,st,st,r ,a ,a ,a ,a ,st,a ,a ,a ,a ,a ,a ,a ,a ,a ,a 
a ,a ,a ,a ,a ,a ,a ,a ,st,st,st,st,a ,a ,a ,a ,st,a ,a ,a ,a ,a ,a ,a ,a ,a ,a 
a ,a ,a ,a ,a ,a ,a ,st,st,a ,a ,a ,a ,a ,a ,a ,st,a ,a ,a ,a ,a ,a ,a ,a ,a ,a 
a ,a ,a ,a ,a ,a ,a ,st,w ,w ,w ,w ,w ,w ,w ,w ,st,a ,a ,a ,a ,a ,a ,a ,a ,a ,a 
st,di,di,a ,a ,a ,st,di,w ,w ,w ,w ,w ,w ,w ,di,st,a ,a ,a ,a ,a ,st,a ,a ,a ,a 
di,di,di,a ,a ,st,st,di,di,w ,w ,w ,di,di,di,st,st,a ,c ,a ,a ,a ,st,a ,a ,a ,a 
di,di,di,di,a ,a ,a ,di,di,di,di,di,di,di,st,st,s ,s ,s ,s ,s ,st,st,do_level2,a ,a ,a 
di,di,di,di,di,di,di,di,di,di,di,di,di,di,di,di,di,di,di,di,di,di,di,di,di,di,di 
di,di,di,di,di,di,di,di,di,di,di,di,di,di,di,di,di,di,di,di,di,di,di,di,di,di,di 
st,st,st,st,st,st,st,di,st,st,st,st,st,a ,st,di,st,st,st,st,st,st,st,st,st,st,st
st,st,st,st,st,st,st,st,st,st,st,st,st,a ,st,st,st,st,st,st,st,st,st,st,st,st,st
st,st,st,st,st,st,st,st,st,st,st,st,st,a ,st,st,st,st,st,st,st,st,st,st,st,st,st
st,st,st,st,st,st,st,st,st,st,st,st,st,a ,st,st,st,st,st,st,st,st,st,st,st,st,st
st,st,st,st,st,st,st,st,st,st,st,st,st,a ,st,st,st,st,st,st,st,st,st,st,st,st,st
